chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
8	4	575	5	1.23735880851746	0	0	1	16	0	0	1	16	0	0	0	0
8	7	829	5	2.31891632080078	0	0	0	0	0	0	0	0	0	0	0	0
8	11	2663	5	159.261490821838	0	0	1	13	0	0	1	13	0	0	0	0
8	19	750	5	2.88817119598389	0	0	0	0	0	0	0	0	0	0	0	0
8	24	2897	5	151.902892112732	0	0	0	0	0	0	0	0	0	0	0	0
8	27	1172	5	4.62644815444946	0	0	1	18	0	0	1	18	0	0	0	0
8	29	3317	5	195.773446559906	0	0	1	14	0	0	1	14	0	0	1	14
8	40	1688	5	17.6551394462585	0	0	0	0	0	0	0	0	0	0	0	0
8	42	2371	5	104.617516756058	0	0	1	8	0	0	1	8	0	0	1	8
8	43	2674	5	120.660541057587	0	0	1	4	0	0	1	4	0	0	0	0
8	49	1631	5	20.1129448413849	0	0	0	0	0	0	0	0	0	0	0	0
8	51	3346	5	324.732605457306	0	0	1	31	0	0	1	31	0	0	1	31
8	55	1017	5	6.2154176235199	0	0	1	110	0	0	1	110	0	0	1	110
8	57	1675	5	37.9491477012634	0	0	0	0	0	0	0	0	0	0	0	0
8	65	1364	5	18.8291091918945	0	0	0	0	0	0	0	0	0	0	0	0
8	67	2588	5	137.665020942688	0	0	1	95	0	0	1	95	0	0	0	0
8	69	3638	5	415.093140125275	0	0	1	25	0	0	1	25	0	0	0	0
8	71	2278	5	71.271392583847	0	0	3	155	0	0	3	155	0	0	2	72
8	74	1284	5	18.5418202877045	0	0	1	40	0	0	1	40	0	0	0	0
8	92	2614	5	112.510269641876	0	0	0	0	0	0	0	0	0	0	0	0
8	106	1922	5	50.0855405330658	0	0	1	8	0	0	1	8	0	0	1	8
8	107	764	5	3.70602655410767	0	0	0	0	0	0	0	0	0	0	0	0
8	108	3966	5	526.027415752411	0	0	0	0	0	0	0	0	0	0	0	0
8	110	3955	5	378.335332870483	0	0	0	0	0	0	0	0	0	0	0	0
8	111	5020	5	534.418825626373	0	0	1	26	0	0	1	26	0	0	1	26
8	113	1347	5	22.2645153999329	0	0	0	0	0	0	0	0	0	0	0	0
8	135	1625	5	19.659731388092	0	0	1	34	0	0	1	34	0	0	0	0
8	158	2244	5	88.1756103038788	0	1	1	2	0	1	1	2	0	0	1	2
8	159	1169	5	10.9782938957214	0	0	1	16	0	0	1	16	0	0	0	0
