pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
european	12	44	1137	1.14589023590088	0	0	0	0
european	12	52	4410	13.7206704616547	0	0	1	12
european	12	55	11167	30.7780070304871	0	0	0	0
european	12	63	2204	1.22816777229309	0	0	0	0
european	12	67	1278	0.539816856384277	0	0	1	11
european	12	71	2874	3.46985983848572	1	2	2	4
european	12	75	343	0.0875809192657471	0	1	0	0
european	12	77	1738	0.773987054824829	0	0	0	0
european	12	82	2866	6.7271294593811	0	0	1	56
european	12	83	6343	19.3847091197968	0	0	0	0
european	12	87	1614	1.38533902168274	0	0	1	3
european	12	88	3358	5.46632075309753	0	0	0	0
european	12	95	5900	22.881484746933	0	0	0	0
european	12	97	4283	7.72808170318604	0	0	0	0
european	12	98	1511	1.73688125610352	0	0	1	11
european	12	104	3084	1.99449992179871	0	0	1	16
european	12	109	883	0.133986711502075	0	0	1	98
european	12	114	2034	2.62050151824951	0	0	1	14
european	12	115	2143	3.51210236549377	0	0	1	9
european	12	119	4643	14.8841919898987	0	0	1	44
european	12	122	3146	5.72741556167603	1	1	1	1
european	12	132	1811	1.80343413352966	0	0	0	0
european	12	136	2436	2.4439537525177	0	0	0	0
european	12	138	4006	12.8050751686096	0	0	0	0
european	12	139	4936	29.5394356250763	0	0	2	102
european	12	144	1229	0.332476854324341	0	0	1	70
european	13	21	3128	9.61510038375854	0	0	0	0
european	13	24	2118	1.44990825653076	0	0	0	0
european	13	28	1003	0.256651878356934	0	0	0	0
european	13	35	1977	2.60025000572205	0	0	1	36
european	13	37	1391	2.2484438419342	0	0	0	0
european	13	40	1610	0.646695613861084	0	0	1	114
european	13	43	1812	2.83262157440186	0	0	0	0
european	13	50	4378	8.55153918266296	0	0	1	35
european	13	53	2589	4.06037211418152	0	0	0	0
european	13	54	10001	57.8954677581787	0	0	0	0
european	13	59	9233	22.4519858360291	0	0	0	0
european	13	64	1147	0.377004146575928	0	1	1	3
european	13	72	1888	0.787539720535278	0	0	1	64
european	13	82	2329	3.60309481620789	0	0	1	20
european	13	87	4852	14.9983186721802	0	0	0	0
european	13	93	1497	0.528017520904541	0	0	1	37
european	13	113	2037	1.54416108131409	0	0	0	0
european	13	119	2435	2.80464649200439	0	0	0	0
european	13	125	2322	1.68198800086975	0	0	0	0
european	14	2	743	0.141492605209351	0	0	1	6
european	14	19	2688	7.46793484687805	0	0	0	0
european	14	20	1524	1.28108882904053	0	0	1	11
european	14	24	1095	0.904819250106812	0	1	1	9
european	14	26	894	0.30198073387146	0	0	0	0
european	14	29	867	0.20479941368103	0	1	0	0
european	14	31	3541	4.6256697177887	0	0	0	0
european	14	40	5351	18.1863582134247	0	0	0	0
european	14	44	1891	2.36280679702759	0	0	0	0
european	14	51	2701	6.63186383247375	0	0	0	0
european	14	57	5097	18.7066161632538	0	0	1	73
european	14	65	3181	11.6330845355988	0	0	0	0
european	14	68	2239	1.63548016548157	0	1	0	0
european	14	70	3091	6.15123534202576	0	0	1	18
european	14	73	1452	1.37910079956055	0	0	0	0
european	14	76	1791	1.92694544792175	0	0	0	0
european	14	90	3309	8.03184795379639	0	0	1	65
european	14	94	1467	1.33688473701477	0	0	0	0
european	14	120	864	0.455609560012817	0	1	0	0
european	14	127	2211	2.40871930122375	0	0	1	129
european	15	13	726	0.142690420150757	0	0	1	45
european	15	27	1319	0.568877935409546	1	1	2	30
european	15	31	4222	10.2439384460449	0	0	0	0
european	15	36	67	0.0217339992523193	0	1	0	0
european	15	37	2826	6.34304857254028	0	0	1	4
european	15	38	3094	6.00802755355835	0	0	1	97
european	15	44	1567	1.72357606887817	0	1	0	0
european	15	45	5767	32.1235659122467	0	0	0	0
european	15	47	1841	0.791133880615234	0	1	0	0
european	15	54	1542	0.857133150100708	0	0	0	0
european	15	59	3433	9.43953204154968	0	0	1	26
european	15	66	2550	1.60175108909607	0	0	0	0
european	15	72	1005	0.327589273452759	0	0	1	8
european	15	75	12043	93.2734048366547	0	0	1	23
european	15	76	4647	10.9188187122345	0	0	1	27
european	15	78	12318	44.1144044399261	0	0	2	187
european	15	79	2259	3.21634817123413	0	1	0	0
european	15	82	1443	0.859499931335449	0	0	0	0
european	15	86	1563	3.26983880996704	1	1	1	1
european	15	90	1789	1.48699188232422	0	1	0	0
european	15	102	1725	1.82025766372681	0	1	0	0
european	15	107	966	0.292888879776001	0	0	0	0
european	16	9	1875	1.96775531768799	0	0	1	110
european	16	17	778	0.132521629333496	0	0	1	38
european	16	18	2380	1.28416633605957	0	1	1	15
european	16	19	2389	2.95476770401001	0	0	0	0
european	16	21	1796	2.05605626106262	0	0	1	8
european	16	26	2380	1.951411485672	0	0	1	95
european	16	36	2634	5.93804478645325	0	0	1	9
european	16	41	2075	3.18618893623352	0	0	1	56
european	16	47	1483	1.29363799095154	0	0	0	0
european	16	59	1218	0.309036731719971	0	0	1	38
european	16	63	1997	0.825832843780518	0	0	1	21
european	16	79	1547	2.11786937713623	0	0	1	57
european	16	84	799	0.133072376251221	0	0	1	24
european	16	85	4643	12.4940514564514	0	0	0	0
european	16	88	4110	10.8577654361725	0	0	0	0
european	16	89	4990	16.3039600849152	0	0	0	0
european	16	106	2149	3.04977941513062	0	1	0	0
european	16	128	3168	3.47788906097412	0	1	0	0
european	17	7	952	0.300184726715088	0	0	0	0
european	17	9	2551	3.69719195365906	0	0	1	87
