pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EAS	15	38	3886	5	21.0851008892059	0	0	0	0
EAS	15	44	1729	5	6.82172298431396	0	0	0	0
EAS	15	45	5627	5	31.431641340255698	0	0	0	0
EAS	15	47	2130	5	6.25277662277222	0	0	0	0
EAS	15	54	1550	5	3.09103178977966	0	0	0	0
EAS	15	59	3086	5	14.4998285770416	0	0	0	0
EAS	15	66	2649	5	15.2431218624115	0	0	0	0
EAS	15	72	747	5	3.70983481407166	0	0	0	0
EAS	15	75	11429	5	242.691744089127	0	0	0	0
EAS	15	76	4562	5	32.0343418121338	0	0	0	0
EAS	15	78	10537	5	213.679197788239	0	0	0	0
EAS	15	79	2189	5	6.56046628952026	0	0	0	0
EAS	15	82	1248	5	5.14130592346191	0	0	0	0
EAS	15	86	1015	5	5.10139656066895	0	0	0	0
EAS	15	90	1355	5	3.44341969490051	0	0	0	0
EAS	15	102	1686	5	5.72555899620056	0	0	0	0
EAS	15	107	744	5	2.60393404960632	0	0	0	0
EAS	16	9	1329	5	8.39141201972961	0	0	0	0
EAS	16	17	774	5	2.99319362640381	0	0	0	0
EAS	16	18	2293	5	5.68586182594299	0	0	0	0
