chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
7	87	869	387	682	0	9.727	2.228	-Inf
7	88	9941	4002	8765	2765	12.83	4.061	2.8
7	93	2701	1278	2437	938	4.556	4.322	2.152
7	95	3788	1944	3286	1241	5.083	3.032	2.521
7	103	5026	2428	4142	1378	4.202	3.543	2.179
7	109	5409	2276	4709	1571	5.514	4.836	3.813
7	114	10896	4823	9454	3618	4.494	3.585	2.66
7	118	2194	1231	1965	647	4.714	4.637	2.455
7	119	4332	2161	3636	1168	8.098	2.941	2.085
7	120	821	389	732	236	3.956	3.177	2.236
7	121	11957	5335	10640	2813	4.167	3.907	3.276
7	125	7403	3373	6348	1386	4.901	5.608	1.859
7	127	2050	979	1698	384	7.764	2.189	1.818
7	128	2171	1024	1908	386	6.536	3.323	1.317
7	132	14075	5918	12268	3951	4.826	4.909	4.916
7	133	12628	5936	11011	2700	72.3	4.53	4.054
7	143	1972	1038	1764	474	4.605	3.721	1.672
7	145	4534	2029	4044	1165	5.3	3.025	1.818
7	147	2963	1382	2642	673	6.277	2.763	2.596
7	148	3908	1696	3398	836	7.902	3.168	2.117
7	161	1537	729	1290	459	5.804	3.136	1.308
7	162	12276	5311	10855	2845	17.17	3.914	2.304
7	169	1402	603	1241	415	2.935	2.623	2.841
7	177	1952	1028	1758	147	4.61	2.677	0.8396
7	184	5539	2626	4805	1637	4.961	3.874	2.34
8	13	1975	998	1822	670	6.359	3.314	1.917
8	17	6185	2980	5510	1580	4.712	2.561	2.964
8	20	4985	2472	4547	1833	3.805	3.832	4.499
8	21	5215	2717	4634	2129	4.576	4.434	2.405
8	24	12125	5332	10939	3985	7.617	6.186	2.255
8	27	3908	2064	3486	1246	4.565	3.89	2.251
8	28	2299	1257	2173	968	3.49	2.82	3.81
8	29	10596	5282	9673	3750	64.13	3.504	2.892
8	31	1328	666	1218	294	4.029	2.297	2.455
8	32	7379	3679	6646	1908	876.6	7.525	4.306
8	33	6100	3069	5435	1904	19.52	4.39	2.409
8	34	3046	1620	2703	704	4.883	3.201	1.907
8	35	2470	1388	2098	758	4.705	3.659	1.551
8	38	2363	1220	2096	591	5.761	3.063	2.035
8	39	4548	2287	3950	1464	5.221	3.648	2.143
8	40	6480	2922	5688	1685	6.877	2.644	2.974
8	41	4225	1929	3681	1191	18.15	3.266	2.094
8	42	7465	3825	6573	2243	6.137	3.924	2.629
8	46	2408	1150	2177	618	5.537	2.949	3.102
8	48	6250	2716	5503	1751	6.868	2.928	2.496
8	51	10131	4201	8737	1968	5.87	4.071	2.932
8	53	5388	2406	4485	1091	6.074	3.163	2.622
8	54	1993	904	1669	314	9.706	3.589	1.849
8	55	4717	2225	3894	798	9.186	3.381	2.097
8	65	3783	1811	3269	1075	7.189	3.336	2.282
8	66	8804	3812	7741	2154	6.951	3.149	3.381
8	68	5001	2401	4306	1652	29.85	3.114	3.77
8	69	10481	4795	9021	2954	5.116	3.816	2.239
8	71	6846	3182	5806	1849	10.99	3.568	2.576
8	77	5973	2896	5145	1527	8.93	3.672	3.09
8	78	1243	639	1092	391	12.01	2.666	2.604
8	80	2677	1348	2309	756	4.12	2.876	1.502
8	83	11217	4786	9655	3100	5.77	3.927	2.554
8	84	14775	6679	12591	3880	4.685	3.652	3.667
8	85	5827	2550	5070	1173	4.152	3.399	2.084
8	86	1292	567	1143	136	3.97	2.252	3.094
8	88	7074	3251	6083	1997	7.867	3.907	3.762
8	92	7243	3311	6367	2169	5.072	3.207	3.039
8	107	2135	1042	1835	643	5.013	3.016	1.393
8	108	11160	5083	9502	3178	7.066	3.513	3.381
8	113	4509	2167	3748	1184	8.136	4.747	3.009
8	114	4051	1777	3564	1094	13.71	4.654	2.09
8	124	3789	1811	3298	1050	10.79	2.69	2.359
8	125	1598	811	1432	447	469.7	2.982	3.151
8	126	481	304	408	166	7.047	2.333	1.984
8	130	3323	1634	2972	959	6.181	3.55	2.783
8	133	5760	2575	5072	1739	11.24	4.533	2.5
8	141	3692	1881	3257	979	5.158	2.625	2.17
8	154	3859	1818	3427	849	5.12	3.147	3.742
8	159	5063	2186	4384	790	8.023	3.767	2.434
9	1	9402	4405	8621	2816	11.44	3.733	2.465
9	4	5012	2653	4547	1636	5.295	3.492	2.246
