chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
9	4	5019	2656	4547	1640	11.15	3.857	3.168
9	5	1293	553	1171	383	3.79	2.814	2.08
9	13	9815	4364	8695	2364	3.948	2.819	1.89
9	33	5369	2499	4894	1977	5.997	3.043	1.804
9	36	5052	2503	4545	1557	7.376	3.843	2.61
9	39	2362	1089	2031	752	26.92	3.583	2.131
9	40	9751	4668	8635	2883	4.596	3.792	3.433
9	51	3065	1445	2722	914	4.31	3.597	2.342
9	53	10359	4656	8737	3091	3.837	3.938	2.781
9	62	7425	3171	6852	2235	5.841	4.172	2.59
9	69	3623	1791	3205	991	9.418	3.495	1.697
9	70	2249	1266	1989	730	3.914	3.719	1.783
9	72	1473	799	1344	415	10.65	3.734	3.036
9	73	3906	1843	3467	1220	5.081	3.138	1.948
9	80	10695	5272	9353	3549	4.265	3.543	2.643
9	84	4879	2359	4231	1535	3.787	3.331	2.442
9	89	1511	708	1368	326	3.578	2.334	2.663
9	93	6318	3025	5615	1542	3.086	4.231	2.1
9	99	4399	2108	3825	1430	3.589	5.556	2.175
9	102	8471	3575	7288	2351	4.884	3.826	3.606
9	104	2102	1127	1842	764	3.536	2.98	2.391
9	110	9705	4308	8514	2963	13.92	4.48	2.547
9	111	345	188	323	95	22.6	2.073	1.435
9	112	8378	4161	7391	2156	5.533	3.137	3.179
9	114	2802	1492	2476	713	3.615	4.094	2.816
9	115	8624	4317	7700	3121	4.54	4.249	2.574
9	116	4254	2261	3663	1513	4.635	3.009	3.243
9	118	10679	5125	9347	3582	6.248	3.797	2.973
9	119	4183	1867	3647	1383	3.608	2.45	2.543
9	124	3977	1967	3488	1363	5.43	4.352	3.061
9	125	5480	2709	4830	2061	4.536	2.911	2.927
9	134	11120	4838	9747	2703	6.012	3.774	2.897
9	140	12051	5136	10124	3106	8.854	4.3	3.164
9	144	3989	1990	3524	722	3.925	3.274	3.185
9	145	4659	2294	3946	1103	4.602	4.381	2.163
9	148	3006	1435	2621	808	4.752	2.879	1.732
9	149	4072	1805	3570	769	99.07	3.956	2.797
9	153	308	207	280	66	2.211	1.888	0.9959
9	160	1627	842	1404	215	5.363	2.751	2.011
9	161	1601	879	1290	276	11.55	2.03	1.75
10	14	6272	3236	5554	2202	4.501	3.098	3.29
10	22	5333	2664	4782	1696	7.558	3.911	2.093
10	30	1554	860	1380	640	3.158	3.308	2.619
10	43	4414	2273	3973	1405	8.158	2.894	2.352
10	45	7144	3441	6405	2350	6.61	3.147	3.51
10	46	7459	3567	6778	2607	4.381	3.572	2.904
10	52	7525	3561	6542	2054	3.896	4.537	2.893
10	53	3841	1731	3489	1003	3.945	3.071	2.018
10	59	4922	1871	4346	1247	3.735	3.586	2.922
10	60	9030	4081	7936	2410	5.066	4.492	3.166
10	67	4921	1845	4310	1411	3.945	2.7	2.826
10	69	6587	2775	5933	1410	2.974	2.919	2.594
10	70	7087	3212	6209	1924	9.2	4.988	1.723
10	73	4234	1935	3755	1450	2.467	3.579	3.07
10	80	7223	3670	6005	1747	6.287	3.095	4.521
10	81	8346	3739	7078	2260	7.101	3.813	3.023
10	84	12746	5216	11182	3093	4.574	4.04	2.822
10	85	2080	1044	1896	587	12.71	2.635	1.453
10	92	12544	4938	10840	3493	4.257	3.987	2.92
10	100	1927	1060	1749	509	3.794	2.866	2.453
10	101	6062	2649	5465	1469	3.815	4.266	2.205
10	109	7596	3249	6726	2012	5.478	4.291	2.881
10	110	2360	1115	2032	617	4.538	2.901	2.536
10	112	1443	799	1281	508	4.749	2.332	2.383
10	113	4887	2601	4246	1566	5.62	4.498	2.687
10	117	9200	4263	7935	2523	19.16	4.036	3.748
10	120	6709	3087	5587	1878	4.933	3.164	1.977
10	121	4009	2132	3453	1288	5.198	4.213	3.239
10	126	8228	3514	7177	2448	8.433	3.306	2.66
10	127	2676	1148	2357	532	3.602	3.083	1.527
10	128	688	303	605	176	3.362	3.041	1.666
10	129	9768	4669	8132	2698	5.339	4.527	2.479
10	131	8666	3984	7402	2264	7.003	2.81	3.189
10	137	8039	3617	6987	2493	14.15	3.811	3.24
10	138	1369	696	1225	401	6.079	2.724	1.633
10	142	2657	1168	2361	519	10.95	3.388	2.939
10	144	3093	1406	2769	869	6.25	3.739	1.688
10	150	6732	3027	6001	2183	4.489	3.297	2.986
10	152	4342	2103	3853	1565	4.241	3.178	2.255
10	154	9991	4986	8821	3156	14.63	3.427	5.862
11	2	5052	2420	4307	571	4.445	3.928	1.453
11	3	5088	2539	4367	899	4.927	4.202	3.125
11	4	3708	1612	3345	709	5.094	3.088	2.366
11	7	2855	1394	2487	585	6.374	3.097	2.7
11	12	7995	3578	7202	2691	12.71	3.908	2.505
11	18	11970	5720	10414	3495	4.415	5.252	3.31
11	22	2424	1276	2157	671	5.897	3.267	1.935
11	28	4146	1996	3437	1028	4.637	3.013	3.273
11	30	3943	1788	3407	1026	6.361	5.035	2.791
11	31	3654	1700	3226	1183	3.271	3.658	2.074
11	33	4853	2303	4167	1493	9.039	3.715	2.912
11	51	5424	2557	4832	1601	3.176	4.463	3.244
